T02,"Population, density and surface area",,,,,
124,Canada,2015,Population density,3.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
124,Canada,2015,Surface area (thousand km2),"9,985",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
124,Canada,2020,Population mid-year estimates (millions),37.89,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
124,Canada,2020,Population mid-year estimates for males (millions),18.83,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
124,Canada,2020,Population mid-year estimates for females (millions),19.06,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
124,Canada,2020,Sex ratio (males per 100 females),98.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
124,Canada,2020,Population aged 0 to 14 years old (percentage),15.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
124,Canada,2020,Population aged 60+ years old (percentage),24.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
124,Canada,2020,Population density,4.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
124,Canada,2020,Surface area (thousand km2),"9,985",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
124,Canada,2022,Population mid-year estimates (millions),38.45,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
124,Canada,2022,Population mid-year estimates for males (millions),19.11,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
124,Canada,2022,Population mid-year estimates for females (millions),19.34,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
124,Canada,2022,Sex ratio (males per 100 females),98.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
124,Canada,2022,Population aged 0 to 14 years old (percentage),15.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
124,Canada,2022,Population aged 60+ years old (percentage),25.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
124,Canada,2022,Population density,4.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
136,Cayman Islands,2010,Population mid-year estimates (millions),0.05,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
136,Cayman Islands,2010,Population mid-year estimates for males (millions),0.03,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
136,Cayman Islands,2010,Population mid-year estimates for females (millions),0.03,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
136,Cayman Islands,2010,Sex ratio (males per 100 females),98.2,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
136,Cayman Islands,2010,Population aged 0 to 14 years old (percentage),18.3,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
136,Cayman Islands,2010,Population aged 60+ years old (percentage),8.5,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
